reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
23,1,6,大樓炭經,Da Lou Tan Jing,Creation and Destruction of the World,法立共法炬,譯,Fa Li and Fa Ju,Translated,西晉,Western Jin,290-307,,"Translated in the period 290-307 (Lancaster 2004, 'K 662')",Korean Canon,http://tripitaka.cbeta.org/T01n0023,2016-07-09,Agama
24,1,10,起世經,Qi Shi Jing,Beginning of the World,闍那崛多等,譯,Jñānagupta and others,Translated,隋,Sui,585-600,,"Translated in the period 585-600 (Lancaster 2004, 'K 660')",Korean Canon,http://tripitaka.cbeta.org/T01n0024,2016-07-09,Agama
25,1,10,起世因本經,Qi Shi Yin Ben Jing,Sutra on the Causes and Beginning of the World,達摩笈多,譯,Dharmagupta,Translated,隋,Sui,585-600,,"Translated in the period 585-600 (Lancaster 2004, 'K 661')",Korean Canon,http://tripitaka.cbeta.org/T01n0025,2016-07-09,Agama
26,1,60,中阿含經,Zhong Ahan Jing,Madhyamāgama,瞿曇僧伽提婆,譯,Gautama Saṅghadeva,Translated,東晉,Eastern Jin,398,,"Translated in 398 (Lancaster, 2004, 'K 648')",Korean Canon,http://tripitaka.cbeta.org/T01n0026,2018-07-20,Agama
27,1,,,,,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,
50,1,,,,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,,,,,
52,1,,,,,,,,,,,,,,,,,
53,1,,,,,,,,,,,,,,,,,
54,1,,,,,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,,,,,
56,1,,,,,,,,,,,,,,,,,
57,1,,,,,,,,,,,,,,,,,
58,1,,,,,,,,,,,,,,,,,
59,1,,,,,,,,,,,,,,,,,
60,1,,,,,,,,,,,,,,,,,
61,1,,,,,,,,,,,,,,,,,
62,1,,,,,,,,,,,,,,,,,
63,1,,,,,,,,,,,,,,,,,
64,1,,,,,,,,,,,,,,,,,
65,1,,,,,,,,,,,,,,,,,
66,1,,,,,,,,,,,,,,,,,
67,1,,,,,,,,,,,,,,,,,
68,1,,,,,,,,,,,,,,,,,
69,1,,,,,,,,,,,,,,,,,
70,1,,,,,,,,,,,,,,,,,
71,1,,,,,,,,,,,,,,,,,
72,1,,,,,,,,,,,,,,,,,
73,1,,,,,,,,,,,,,,,,,
74,1,,,,,,,,,,,,,,,,,
75,1,,,,,,,,,,,,,,,,,
76,1,,,,,,,,,,,,,,,,,
77,1,,,,,,,,,,,,,,,,,
78,1,,,,,,,,,,,,,,,,,
79,1,,,,,,,,,,,,,,,,,
80,1,,,,,,,,,,,,,,,,,
81,1,,,,,,,,,,,,,,,,,
82,1,,,,,,,,,,,,,,,,,
83,1,,,,,,,,,,,,,,,,,
84,1,,,,,,,,,,,,,,,,,
85,1,,,,,,,,,,,,,,,,,
86,1,,,,,,,,,,,,,,,,,
87,1,,,,,,,,,,,,,,,,,
88,1,,,,,,,,,,,,,,,,,
89,1,,,,,,,,,,,,,,,,,
90,1,,,,,,,,,,,,,,,,,
91,1,,,,,,,,,,,,,,,,,
92,1,,,,,,,,,,,,,,,,,
93,1,,,,,,,,,,,,,,,,,
94,1,,,,,,,,,,,,,,,,,
95,1,,,,,,,,,,,,,,,,,
96,1,,,,,,,,,,,,,,,,,
97,1,,,,,,,,,,,,,,,,,
98,1,,,,,,,,,,,,,,,,,
99,1,,,,,,,,,,,,,,,,,
100,2,,,,,,,,,,,,,,,,,
101,2,,,,,,,,,,,,,,,,,
102,2,,,,,,,,,,,,,,,,,
103,2,,,,,,,,,,,,,,,,,
104,2,,,,,,,,,,,,,,,,,
105,2,,,,,,,,,,,,,,,,,
106,2,,,,,,,,,,,,,,,,,
107,2,,,,,,,,,,,,,,,,,
108,2,,,,,,,,,,,,,,,,,
109,2,,,,,,,,,,,,,,,,,
110,2,,,,,,,,,,,,,,,,,
111,2,,,,,,,,,,,,,,,,,
112,2,,,,,,,,,,,,,,,,,
113,2,,,,,,,,,,,,,,,,,
114,2,,,,,,,,,,,,,,,,,
115,2,,,,,,,,,,,,,,,,,
116,2,,,,,,,,,,,,,,,,,
117,2,,,,,,,,,,,,,,,,,
118,2,,,,,,,,,,,,,,,,,
119,2,,,,,,,,,,,,,,,,,
120,2,,,,,,,,,,,,,,,,,
121,2,,,,,,,,,,,,,,,,,
122,2,,,,,,,,,,,,,,,,,
123,2,,,,,,,,,,,,,,,,,
124,2,,,,,,,,,,,,,,,,,
125,2,,,,,,,,,,,,,,,,,
126,2,,,,,,,,,,,,,,,,,
127,2,,,,,,,,,,,,,,,,,
128A,2,,,,,,,,,,,,,,,,,
128B,2,,,,,,,,,,,,,,,,,
129,2,,,,,,,,,,,,,,,,,
130,2,,,,,,,,,,,,,,,,,
131,2,,,,,,,,,,,,,,,,,
132A,2,,,,,,,,,,,,,,,,,
132B,2,,,,,,,,,,,,,,,,,
133,2,,,,,,,,,,,,,,,,,
134,2,,,,,,,,,,,,,,,,,
135,2,,,,,,,,,,,,,,,,,
136,2,,,,,,,,,,,,,,,,,
137,2,,,,,,,,,,,,,,,,,
138,2,,,,,,,,,,,,,,,,,
139,2,,,,,,,,,,,,,,,,,
140,2,,,,,,,,,,,,,,,,,
141,2,,,,,,,,,,,,,,,,,
142A,2,,,,,,,,,,,,,,,,,
142B,2,,,,,,,,,,,,,,,,,
143,2,,,,,,,,,,,,,,,,,
144,2,,,,,,,,,,,,,,,,,
145,2,,,,,,,,,,,,,,,,,
146,2,,,,,,,,,,,,,,,,,
147,2,,,,,,,,,,,,,,,,,
148,2,,,,,,,,,,,,,,,,,
149,2,,,,,,,,,,,,,,,,,
150A,2,,,,,,,,,,,,,,,,,
150B,2,,,,,,,,,,,,,,,,,
151,2,,,,,,,,,,,,,,,,,
