reference_no,type,citation
848,Full,"Giebel, Rolf W. 2005, <i>Vairocanāsaṃbodhi Sūtra: Translated from the Chinese (Taishō Volume 18, Number 848)</i>, BDK English Tripiṭaka Series, BDK America, Inc., <a href='https://bdkamerica.org/product/the-vairocanabhisambodhi-sutra/'>https://bdkamerica.org/product/the-vairocanabhisambodhi-sutra</a>."
848,From Tibetan,"Wayman, A. and Tajima, R. 1992, <i>The Enlightenment of Vairocana</i>, Motilal Banarsidass Publishers, <a href='https://books.google.com/books?id=rlhQwTAYR-oC'>https://books.google.com/books?id=rlhQwTAYR-oC</a>."
865,Full,"Giebel, Rolf W. 2001, <i>Two Esoteric Sutras: The Adamantine Pinnacle Sutra and The Susiddhikara Sutra, Translated from the Chinese (Taishō Volume 18, Number 865, 893)</i>, BDK English Tripiṭaka Series, BDK America, Inc., <a href='https://bdkamerica.org/product/two-esoteric-sutras/'>https://bdkamerica.org/product/two-esoteric-sutras/</a>."
867,Partial,"Goepper, R. 1993, <i>Aizen-Myōō: The Esoteric King of Lust : an Iconological Study</i>, Switzerland: Artibus Asiae."
869,Full,"Giebel, Rolf W. “The Chin-kang-ting ching yu-ch‘ieh shih-pa-hui chih-kuei: An Annotated Translation.” Naritasan Bukkyd Kenkyujo Kiyo (Journal of Naritasan Institute for Buddhist Studies), No. 18,1995. Translation of Taisho No. 869."
888,From Tibetan,"Wayman, Alex 1984 'The Sarvarahasyatantra,' in <i>Acta Indologica</i>, Japan, Vol. VI."
890,Partial,"Sinclair, I.R. 2000, <i>Iconography in the Chinese Māyājāla-tantra</i>, University of Western Sydney, Nepean"
892,Full,"Willemen, C. 2004, <i>The Chinese Hevajratantra: The Scriptural Text of the Ritual of the Great King of the Teaching, the Adamantine One with Great Compassion and Knowledge of the Void</i>, India: Motilal Banarsidass Publishers."
893a,Full,"Giebel, Rolf W. 2001, <i>Two Esoteric Sutras: The Adamantine Pinnacle Sutra and The Susiddhikara Sutra, Translated from the Chinese (Taishō Volume 18, Number 865, 893)</i>, BDK English Tripiṭaka Series, BDK America, Inc., <a href='https://bdkamerica.org/product/two-esoteric-sutras/'>https://bdkamerica.org/product/two-esoteric-sutras/</a>."
901,Full,"Capitanio, Josh 2017, “‘The Ritual Altar of Kuṇḍalī Vajra for Treating Illnesses’ from the Collected Dhāraṇī Sūtras,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 314-321. Partial translation.</li>
  <li>van Gulik, Robert Hans 1935, <i>Hayagrīva: The Mantrayānic Aspect of the Horse-Cult in China and Japan</i>, Leiden: E. J. Brill, pp. 58–75. Partial translation."
905,Full,"Fabio Rambelli 2000, “Ritual of the Secret Dharanis of the Three Siddhis for the Destruction of Hell, the Transformation of Karmic Hindrances, and the Liberation from the Three Conditioned Worlds,” In: Tantra in Practice. Princeton: Princeton University Press, pp. 370–380."
908,Partial,"Goble, G. C. 2019, <i>Chinese Esoteric Buddhism: Amoghavajra, the Ruling Elite, and the Emergence of a Tradition</i>, Play E-Book,   United States: Columbia University Press, pp. 98-99. Fragment."
917,Full,"Bagchi, Prabodh Chandra 1945, 'Bodhisattva-śīla of Śubhākarasimha,' Sino-Indian Studies Vol. 1 No. 3: 132-160."
930,Partial,"Orzech, D. O. 2017, “Tantric Subjects: Liturgy and Vision in Chinese Esoteric Ritual Manuals,” In Yael Bentor and Meir Shahar (eds), <i>Chinese and Tibetan Esoteric Buddhism</i>, Leiden: Brill, p. 27."
937,Full,"Rulu 2012, “Buddha Pronounces the Mahāyāna Sūtra of the Dhāraṇī of Infinite-Life Resolute Radiance King Tathāgata,” In: <i>Teachings of the Buddha</i>, Bloomington: Author House, pp.66-70."
924A,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
945,Full,"Luk, Charles 1966, <i>The Surangama Sutra (Leng Yen Ching) - Chinese Rendering by Master Paramiti of Central North India at Chih Chih Monastery, Canton, China, AD 705</i>, London: Rider."
945,Full,"Hsuan Hua and Buddhist Text Translation Society (Primary Translator: Bhikṣuṇī Heng Chih) 1977-1981, <i>The Shurangama Sutra with Commentary</i>, 7 vols. Burlington CA: Buddhist Text Translation Society."
945,Full,"Buddhist Text Translation Society 2009, <i>The Śūraṅgama Sūtra - A New Translation with Excerpts from the Commentary by the Venerable Master Hsuan Hua</i>, Burlington CA: Buddhist Text Translation Society."
945,Partial,"Rulu 2011, <i>Thinking of Amitabha Buddha</i>, Bloomington: Author House 2011, <a href='https://www.sutrasmantras.info/sutra08.html'>https://www.sutrasmantras.info/sutra08.html</a>, accessed 2021-10-26, p. 106."
959,Full,"Sinclair, I 2016, “Coronation and Liberation According to a Javanese Monk in China: Bianhong’s Manual on the Abhiṣeka of a Cakravartin,” In: <i>Esoteric Buddhism in Mediaeval Maritime Asia</i>, Singapore: ISEAS Publishing, pp. 29-66."
970,Full,"Rulu 2012, <i>Teachings of the Buddha</i>, Bloomington: Author House 2011, <a href='https://www.sutrasmantras.info/sutra01.html'>https://www.sutrasmantras.info/sutra01.html</a>, accessed 2021-10-26, pp. 45-55."
986,Full,"Overbey, R R 2016, “Vicissitudes of Text and Rite in the Great Peahen Queen of Spells,” In David B. Gray, Ryan Richard Overbey (eds): <i>Tantric Traditions in Transmission and Translation</i>, New York: Oxford University Press, pp. 257-283."
991,Full,"Bendall, Cecil 1880, “The Megha-Sūtra,” <i>Journal of the Royal Asiatic Society of Great Britain and Ireland</i>, vol. 12, no. 2, Royal Asiatic Society of Great Britain and Ireland, pp. 286–311, <a href='https://fr.booksc.eu/book/28626115/f26328'>https://fr.booksc.eu/book/28626115/f26328</a>, accessed 2021-10-30. Translation from Sanskrit."
1003,Partial,"Astley, Ian 1994, “An Annotated Translation of Amoghavajra’s Commentary on the Liqu jing (Rishukyō)—Part I,” <i>Studies in Central and East Asian Religions</i>, 7, pp.27-53, at <a href='https://www.shin-ibs.edu/research/archived-publications-and-research-projects/scear/v7/'>https://www.shin-ibs.edu/research/archived-publications-and-research-projects/scear/v7/</a>, accessed 2021-10-31. Partial translation."
1003,Partial,"Heng Tao, Bhikshuni, et al 1983, <i>Flower Adornment Sutra</i>, Talmage, CA: Buddhist Text Translation Society, pp. 86–87, Chap. 39, Part VII."
1022B,Full,"Rulu 2012, <i>>Teachings of the Buddha</i>, Bloomington: Author House, pp.59-65."
1043,Partial,"Greene, Eric Matthew 2012, <i>Meditation, Repentance and Visionary Experience in Early Medieval Chinese Buddhism</i>, PhD dissertation, U. C. Berkeley, at <a href='https://escholarship.org/content/qt92v7t1cg/qt92v7t1cg.pdf'>https://escholarship.org/content/qt92v7t1cg/qt92v7t1cg.pdf</a>, accessed 2021-11-04, pp. 337-341."
1056,Partial,"Goble, G. C. 2019, <i>Chinese Esoteric Buddhism: Amoghavajra, the Ruling Elite, and the Emergence of a Tradition</i>, Play E-Book,   United States: Columbia University Press, pp. 94-98. Fragment."
1059,Full,"Sen, Satiranjan 1945, “Two medical texts in Chinese translations,” Visva-Bharati Annals Vol.1, at <a href='https://mbingenheimer.net/tools/bibls/sen_satiranjan.1945.twoMedicalTextsInChinese.pdf'>https://mbingenheimer.net/tools/bibls/sen_satiranjan.1945.twoMedicalTextsInChinese.pdf</a>, accessed 2021-11-06, pp. 70–95."
1059,Full,"Unschuld, Paul U 1985, <i>Medicine in China: A History of Ideas</i>, Berkeley &amp; Los Angeles: University of California Press, pp. 314–321."
1060,Full,"Buddhist Text Translation Society 1976, <i>The Dharani Sutra: The Sutra of the Vast, Great, Perfect, Full, Unimpeded Great Compassion Heart Dharani of the Thousand-Handed, Thousand-Eyed Bodhisattva Who Regards the World’s Sounds</i>, San Francisco: Buddhist Text Translation Society."
1060,Full,"Giddings, William J 2017, ""The Sūtra on the Dhāraṇī of the Vast, Complete and Unobstructed Great Compassion of the Bodhisattva with a Thousand Hands and Thousand Eyes,"" In: P. Salguero (ed.), Buddhism and Medicine - An Anthology of Premodern Sources, New York: Columbia University Press, pp.252-285."
1069,Full,"Grinstead, Erik 1994, “Sutra of the Eleven-Faced Avalokiteśvara,” in Sorensen, H. H. (ed), The Esoteric Buddhist Tradition, Denmark: Seminar for buddhist studies, pp. 97-125."
1072A,Full,"van Gulik, Robert Hans 1935, <i>Hayagrīva: The Mantrayānic Aspect of the Horse-Cult in China and Japan<i>, Leiden: E. J. Brill, pp. 85–94."
1077,Full,"Rulu 2012, <i>Teachings of the Buddha</i>, Bloomington: Author House, pp.56-58, online at <a href='https://www.sutrasmantras.info/sutra02.html'>https://www.sutrasmantras.info/sutra02.html</a>, acessed 2021-11-11."
1097,Full,"Orzech, Charles 1996, “The Scripture of Amoghapāśa Dhāraṇī, the Sovereign Lord of Spells,” In: Victor Mair (ed.) <i>The Columbia Anthology of Traditional Chinese Literature</i>, Columbia University Press, pp. 116–120."
1158,Full,"Zhiru 2007, <i>The Making of a Savior Bodhisattva: Dizang in Medieval China</i>, Google Play edition, Honolulu: University of Hawai‘i Press, pp. 253–257."
1159A,Full,"Zhiru 2007, <i>The Making of a Savior Bodhisattva: Dizang in Medieval China</i>, Google Play edition, Honolulu: University of Hawai‘i Press, pp. 241-252."
1166,Full,"Young, S. H. 2015, <i>Conceiving the Indian Buddhist Patriarchs in China</i>, United States: University of Hawaiʻi Press, a Kuroda Institute Book, 283-286."
1177A,Partial,"Giebel, Rolf W. 2011a, “The One Hundred and Eight Names of Mañjuśrī: The Sanskrit Version of the Mañjuśrīkumārabhūta-aṣṭottaraśatakanāma Based on Sino-Japanese Sources,” <i>Indo Ronrigaku Kenkyū</i> 3, pp. 303–343."
1177B,Partial,"Giebel, Rolf W. 2011a, “The One Hundred and Eight Names of Mañjuśrī: The Sanskrit Version of the Mañjuśrīkumārabhūta-aṣṭottaraśatakanāma Based on Sino-Japanese Sources,” <i>Indo Ronrigaku Kenkyū</i> 3, pp. 303–343."
1200,Partial,"Goble, G. C. 2019, <i>Chinese Esoteric Buddhism: Amoghavajra, the Ruling Elite, and the Emergence of a Tradition</i>, Play E-Book,   United States: Columbia University Press, pp. 129-133. Fragments."
1214,Partial,"Goble, G. C. 2019, <i>Chinese Esoteric Buddhism: Amoghavajra, the Ruling Elite, and the Emergence of a Tradition</i>, Play E-Book,   United States: Columbia University Press, pp. 123-127. Fragments."
1266,Full,"Sanford, James H 1997, “Literary Aspects of Japan's Dual-Gaṇeśa Cult,” In: Robert L. Brown, ed., <i>Ganesh: Studies of an Asian God</i>, Albany: State University of New York, pp. 287-335."
1270,Partial,"Sanford, James H 1997, “Literary Aspects of Japan's Dual-Gaṇeśa Cult,” In: Robert L. Brown, ed., <i>Ganesh: Studies of an Asian God</i>, Albany: State University of New York, pp. 287-335."
1275,Full,"Duquenne, Robert 1988, “Rules for the Diviner’s Plate of the Holy Deity of Mirth,” <i>Bulletin de l'Ecole française d'Extrême-Orient</i>, Tome 77, pp. 347–352."
1277,Full,"Giebel, Rolf W 2016, “A Śaiva Text in Chinese Garb? An Annotated Translation of the Suji liyan Moxishouluo tian shuo aweishe fa,” In Andrea Acri (ed.) <i>Esoteric Buddhism in Mediaeval Maritime Asia</i>, Singapore: ISEAS Publishing, pp. 381-388."
