reference_no,type,citation
1858,Full,"Liebenthal, Walter 1968, <i>Chao Lun - The Treatises of Seng-chao</i>, Hong Kong: Hong Kong University Press."
1886,Full,"Jan Yün-hua 2017, “Treatise on the Origin of Humanity,” In: <i>Three Short Treatises by Vasubandhu, Sengzhao, and Zongmi</i>, Berkeley: Bukkyo Dendo Kyokai America, pp. 141-170."
1909,Partial,"Chappell, D. W. 2005, “The Precious Scroll of the Liang Emperor: Buddhist and Daoist Repentance to Save the Dead,” In: William M. Bodiford ed. <i>Going Forth</i>, University of Hawaii Press, Chapter 2, pp. 40-67."
1911,Full,"Donner, Neal Arvid, and Daniel B. Stevenson. 1993. <i>The Great Calming and Contemplation: A Study and Annotated Translation of the First Chapter of Chih-I’s Mo-Ho Chih-Kuan</i>. Classics in East Asian Buddhism. Honolulu: University of Hawaii Press."
1911,Full,"Swanson, Paul, trans. 2004. <i>The Great Cessation-and-Contemplation (Mo-Ho Chih-Kuan)</i>. Tokyo: Kosei Publishing Co."
1915,Partial,"Beal, Samuel 1871, <i>A Catena of Buddhist Scriptures from the Chinese</i>, London: Trübner and Co."
1915,Full,"Swanson, Paul 2017, <i>Clear Serenity, Quiet Insight: T'ien-t'ai Chih-i's Mo-ho Chih-kuan</i>, Honolulu: University of Hawaii Press, Vol.3, pp. 1659-1759."
1931,Full,"Chegwan and Buddhist Translation Seminar of Hawaii (tr.) 1983, <i>T'ien-t'ai Buddhism: an Outline of the Fourfold Teachings</i> Tokyo: Daiichi-Shobo."
1931,Full,"Ichishima, Masao, and David W. Chappell, trans. 2013, “A Guide to the Tiantai Fourfold Teachings,” In <i>Tien-Tai Lotus Texts</i> by Chamberlain-Nyudo Sylvain (Ed.), 153–210. Berkeley, CA: Bukkyō Dendō Kyōkai, <a href='https://bdkamerica.org/product/tiantai-lotus-texts/'>https://bdkamerica.org/product/tiantai-lotus-texts/</a>."
1985,Full,"Cleary, J C 1999, 'The Recorded Sayings of Linji,' in <i>Three Chan Classics: The Recorded Sayings of Linji, Wumen’s Gate, The Faith-Mind Maxim</i>, SDK English Tripitaka 74-1, II, III, Numata Center for Buddhist Translation and Research, pp 1-63, <a href='https://bdkamerica.org/product/three-chan-classics/'>https://bdkamerica.org/product/three-chan-classics/</a>."
2003,Full,"Ch’ung-hsien,  K’o-ch’in, and Thomas F. Cleary (trans.) 1998, <i>The Blue Cliff Record</i>, Berkeley, California: Numata Center for Buddhist Translation and Research, <a href='https://www.bdkamerica.org/system/files/pdf/dBET_Alpha_T2003_BlueCliffRecord_1998.pdf'>https://www.bdkamerica.org/system/files/pdf/dBET_Alpha_T2003_BlueCliffRecord_1998.pdf</a>."
2003,Full,"Sekida, Katsuki (trans.) 2014, <i>Two Zen Classics: The Gateless Gate and The Blue Cliff Records</i>, 1st Shambhala edition, Boston and London: Shambhala."
2003,Full,"Yuanwu, Thomas F. Cleary (trans.), and J. C. Cleary (trans.) 1977, <i>The Blue Cliff Record</i>, Boulder, Colo: Shambhala."
2004,Partial," Wick, Gary Shishin 2005, <i>The Book of Equanimity: Illuminating Classic Zen Koans</i>, Boston: Wisdom Publications. Partial translation."
2004,Full,"Cleary, Thomas F 2005, <i>Book of Serenity: One Hundred Zen Dialogs</i>, Boulder: Shambhala."
2005,Full,"Cleary, J C 1999, <i>Three Chan Classics: The Recorded Sayings of Linji, Wumen’s Gate, The Faith-Mind Maxim</i>, SDK English Tripitaka 74-1, II, III, Numata Center for Buddhist Translation and Research, <a href='https://bdkamerica.org/product/three-chan-classics/'>https://bdkamerica.org/product/three-chan-classics/</a>."
2005,Full,"Yamada, Kōun, and Huikai 1990, <i>Gateless Gate</i>, Tucson: University of Arizona Press."
2008,Full,"Huineng, and Hsüan Hua 1977, <i>The Sixth Patriarch's Dharma Jewel Platform Sutra, with the Commentary of Tripitaka Master Hua </i>[translated from the Chinese by the Buddhist Text Translation Society]. San Francisco: Sino-American Buddhist Association."
2008,Full,"Huineng, and Red Pine 2006, <i>The Platform Sutra: the Zen Teaching of Hui-neng</i>. Emeryville, CA: Shoemaker & Hoard."
2008,Full,"Huineng, and John R. McRae 2000, <i>The Platform Sutra of the Sixth Patriarch: Translated from the Chinese of Tsung-pao</i>. Berkeley, CA: Numata Center for Buddhist Translation and Research."
2008,Full,"Huineng, Philip B. Yampolsky, and Huineng 2012, <i>The Platform Sutra of the Sixth Patriarch: the Text of the Tun-huang Manuscript</i>. New York: Columbia University Press."
2008,Full,"Hsingyun, and Huineng 2010, <i>The Rabbit's Horn: a Commentary on the Platform Sutra</i>. Los Angeles: Buddha's Light Pub."
2010,Full,"Cleary, J C 1999, <i>Three Chan Classics: The Recorded Sayings of Linji, Wumen’s Gate, The Faith-Mind Maxim</i>, SDK English Tripitaka 74-1, II, III, Numata Center for Buddhist Translation and Research, <a href='https://bdkamerica.org/product/three-chan-classics/'>https://bdkamerica.org/product/three-chan-classics/</a>."
2012A,Full,"McRae, John R. 2005. <i>Zen texts</i>. Berkeley, Calif: Numata Center for Buddhist Translation and Research."
2014,Full,"Suzuki, D.T. 1935, “Song of Enlightenment,” <i>Manual of Zen Buddhism</i>, p. 97."
2016,Full,"Welter, Albert 2012, <i>Yongming Yanshou's Conception of Chan in the Zongjing Lu: A Special Transmission Within the Scriptures</i>, Oxford University Press: Oxford, New York. Multiple volumes."
