Traditional	Occurences
涅槃界	454
安樂國	454
善神	453
壞色	452
中劫	452
修惑	452
無想處	452
無邊世界	451
怨親	451
二足	451
中尊	450
後念	450
吽吽	449
求寂	449
火聚	448
式叉摩尼	447
明利	447
心欲	447
道樹	447
二利	446
蘊界	446
現報	445
謗法	445
寶性	444
軟語	444
欲想	444
禪思	443
理教	443
師資	442
受欲	442
上味	442
變化身	442
香湯	441
質多	441
四無畏	441
漏盡智	440
四食	439
想觀	437
尋香城	437
見聞覺知	436
要言	436
佛境	435
戒定	435
無生法	435
含識	434
最後身	434
菩提場	434
佛日	433
提舍尼	433
智度	432
生盲	432
生報	431
宿命智	431
苦類智	431
淨眼	430
潤生	430
證道	430
金剛寶	430
般舟	429
義門	429
相應無明	429
執事	429
化導	429
三密	429
身雲	428
虛誑語	428
實諦	428
毒箭	428
前念	428
壞法	427
雙樹	427
人執	427
法衣	426
小千	425
不淨行	425
隨信行	424
影現	422
三會	422
青蓮華	421
唐捐	421
二答	420
一根	420
利人	420
滅擯	420
受決	419
功德藏	419
五指	418
寶網	417
納受	417
大神力	417
一代	416
第六識	415
染衣	415
樓陀	412
一肘	412
寂照	411
隱覆	411
教觀	411
寶王	411
一尋	410
師教	410
光顯	409
樹王	408
大天	407
施僧	407
眾生根	407
水月	406
定根	406
愚惑	405
善性	405
智身	405
天授	405
二十二根	404
僧佉	404
義立	404
化心	404
七生	403
無間業	402
鬼魅	401
慈雲	401
大車	401
多論	401
拘盧	400
漏無漏	400
五住	399
色欲	399
行德	398
正心	398
熱病	398
佛知見	398
二入	398
純一	398
大般若	397
大僧	396
俗智	396
性德	395
白馬	394
支佛	394
婆蹉	394
藏通	393
遺教	393
客塵	391
不思議解脫	391
波離	391
見跡	390
妓樂	390
喜見	389
火坑	389
入寺	389
清淨智	389
五百由旬	388
大品經	388
慧光	388
三請	388
焚香	388
佛讚	387
一理	386
正慧	385
終教	385
三災	384
結生	384
眾法	383
末利	383
瑜伽師	382
蠕動	382
微密	382
毘琉璃	382
聲論	381
一業	381
火天	380
天趣	380
十心	379
義意	379
五德	378
十佛	378
四道	378
勝心	377
明度	377
設利	377
行果	377
食後	377
勤策	377
園觀	377
愛恚	376
見行	376
辟支佛乘	376
樂果	376
三五	375
空華	375
師僧	375
異緣	375
無上法	373
慧解	373
無漏根	373
亂想	373
論偈	372
大導師	372
知世間	371
神光	371
一化	371
五波羅蜜	371
金剛身	371
異心	370
立量	370
佛記	369
無明結	369
妙果	369
波尼	368
摩訶男	368
寶車	368
有情數	367
文證	367
涅槃樂	366
欲法	366
緣修	366
行解	366
真陀羅	366
梵僧	365
四大洲	365
持金剛	365
六智	364
入眾	364
明妃	363
眼入	363
假法	363
開善	363
智印	362
苦際	362
三千界	361
覺心	361
教道	360
毒龍	360
紇哩	359
聚沫	359
愛染	359
佛舍利	358
胞胎	358
四結	358
寶器	358
四釋	358
二善	358
法性空	358
性罪	357
滿願	357
喬答摩	356
四姓	356
摩觸	356
三聖	356
利劍	355
大機	355
報生	355
三車	355
青蓮	354
智境	354
念根	353
惡眾生	353
西域記	353
眾生想	352
智門	352
苦道	352
大毘盧遮那	352
無上乘	352
感果	352
有餘師	352
息災	351
勝論	351
請僧	351
後報	351
清淨身	350
異論	350
二修	350
濡首	350
五比丘	349
息心	349
末羅	349
佛部	349
示導	348
三達	347
集起	347
體法	347
中實	347
苦想	346
深理	346
十善道	346
乾陀	345
納息	345
智果	345
色光	344
智眼	344
在家菩薩	343
章安	343
遶佛	343
首楞嚴三昧	343
七七	342
三天	342
舍羅	342
五緣	341
修生	341
愛憎	341
帝網	341
功德聚	340
八大	340
罪垢	340
緣心	340
無我想	339
小界	339
聖位	339
總持門	339
法位	339
正論	338
一切智心	338
持犯	337
二戒	337
魔界	337
法報	337
金華	337
四意	336
權教	336
香積	335
句身	335
行一	335
六位	334
藥山	334
惑障	334
釋門	334
歸依法	334
大千界	333
見真	333
二攝	333
八字	333
善吉	333
兜羅	332
崛多	332
十使	331
禪經	330
萬善	329
現觀邊	329
頭面作禮	328
三無性	328
古佛	328
僧堂	328
六祖	327
剃頭	327
異熟識	327
鳩摩羅	326
大曼	325
五結	325
果滿	325
二離	325
行滿	325
降神	325
五藏	325
修禪定	325
緣力	324
大婆羅門	324
覺性	324
妙觀	324
經戒	324
法數	323
難破	323
無漏慧	323
二無我	322
功德品	322
道滅	322
戒德	322
妄情	322
經生	321
入般涅槃	321
定業	321
四一	320
舌識	319
發真	319
種識	319
一覺	319
觸入	319
一微塵	318
納衣	318
雙林	318
滅類智	317
首楞嚴經	317
三能	317
行捨	317
蓮華部	317
惡龍	317
明處	316
真道	315
言色	315
圓具	315
大法雨	314
鼻根	314
破和合僧	314
九界	314
中流	313
紫磨	311
密藏	311
鬼界	311
五體	311
金剛頂	311
體義	310
四趣	310
樓炭	310
五天	310
摩訶般若波羅蜜	309
舉似	309
度生	309
首羅	309
提婆達	309
震旦	309
王三昧	309
交露	308
道法智	308
雨眾	308
心垢	307
溥首	307
平等法	307
鬼趣	307
清淨法界	306
會釋	305
戒師	305
遊戲神通	304
法利	304
無上覺	304
苦法智忍	303
軍荼	303
香雲	303
船師	303
海印	303
真法界	303
三善	302
靈隱	302
明證	301
四說	301
後佛	301
具知根	301
身苦	300
座主	300
善法堂	300
雜華	300
天鼓	299
祈請	299
無明闇	299
鼻識	299
人無我	298
律儀戒	298
二藏	298
妨難	298
深坑	297
佛位	297
百法	297
召請	297
天壽	297
發心住	297
應器	297
法藥	296
室利	296
外凡	296
三惑	296
禪法	296
盲冥	295
