#Term	Mutual Info	Includes Fn Words	Result
明白	1.280723499216055	0	1
大士	5.209800254404275	0	1
過後	0.6642036905949872	1	1
山僧	3.457167254375296	0	1
門首	1.7789057864734226	0	1
掀天	4.934211471687916	0	1
不少	1.0797804431946116	1	1
老漢	4.9221457312459345	0	1
果然	0.6447612425920385	0	1
溈山	9.948766881865138	0	1
相見	1.7976039437267326	0	1
賣弄	8.999629585310885	0	1
院主	5.818075348004755	0	1
睦州	11.25081660061053	0	1
當時	1.9799714845747398	0	1
也是	0.894731929369343	0	1
大地	3.0542441292805633	0	1
道中	2.977068141715994	0	1
行脚	3.8597110251745956	0	1
令人	2.5700951749336376	0	1
打鼓	8.3592977223856	0	1
猶在	3.0212059501074133	0	1
普請	3.965189553989711	0	1
大唐	5.558242902514029	0	1
如何	2.67293096566881	0	1
東門	3.5369641485393357	0	1
只是	3.838347461120457	0	1
法眼	2.4583096796481616	0	1
勘破	7.349555347469522	0	1
翠嵒	14.139710353474218	0	1
舊曆	3.671286124829245	0	1
臂膊	9.307722697043461	0	1
出去	1.8793559791536234	0	1
三軍	0.6214891244573904	0	1
草草	4.3420830436422575	0	1
一等	0.22481360171803358	0	1
結草	3.0296055576249836	0	1
天下	4.465602595556712	1	1
十六	5.615466337492522	0	1
東家	1.8899443996915635	0	1
放過	3.4098860182930184	0	1
問事	0.8790043077882018	0	1
切忌	5.596861415397468	0	1
臨機	6.51108265573766	0	1
禪師	6.998083118710814	0	1
國人	2.4488681117627507	0	1
拂子	6.4741623234456505	0	1
垂語	2.9307451844849344	0	1
落地	2.8942876391042214	0	1
不為	1.2061709367656357	1	1
不免	3.658146299168044	1	1
長慶	5.725886751400279	0	1
有用	0.5817326538426505	1	0
草木	9.394580774784897	0	1
和尚	9.216312820515835	0	1
示眾	3.116444596372728	0	1
也好	1.4489992852808662	0	1
不知	2.716511338238979	1	1
不在	1.1434689700614804	1	1
未曾	8.17000524063926	0	1
衲僧	8.832688492868364	0	1
日後	2.5520869886285578	1	0
保福	6.999046830749716	0	1
雲門	4.69687125155031	0	1
張弓	9.527374629898357	0	1
三十	4.444441283560613	0	1
不問	0.38529279493386076	1	1
不識	1.6520185278751	1	1
突出	2.4094895440610506	0	1
恁麼	11.78148453457332	0	1
潑水	8.50497191978997	0	1
胡亂	4.4921983467776085	0	1
首座	6.75346997523778	0	1
不住	2.4356001635927385	1	1
河北	5.7452168170936915	0	1
打劫	1.5879870217194034	0	1
河南	4.636268319034872	0	1
伎倆	14.523556057333508	0	1
帶累	7.917830566691281	0	1
師子	5.165883570793782	0	1
禮拜	10.172105870304279	0	1
不會	1.5586486334902077	1	1
下放	2.922022684040201	1	0
陛下	8.239966829967639	1	1
承當	4.541945863279543	0	1
達磨	8.582749831120008	0	1
一句	3.587152812019288	0	1
坐斷	2.1067260745133627	0	1
法堂	2.655551391423621	0	1
東南	6.264000569800336	0	1
接嘴	8.097374795532922	0	1
遣使	7.704467703817638	0	1
武帝	9.000207962465929	0	1
頭上	3.8039634784544045	1	0
開口	4.408770965812326	0	1
無明	3.2880882767431734	1	0
揀擇	9.97220704457284	0	1
作賊	2.7587579644300555	0	1
從來	2.3555419111844333	0	1
什麼	10.783981610045467	0	1
頭角	5.820655727379915	0	0
打水	2.1412325945174646	0	1
西家	1.2832601642186683	0	1
來日	0.46928398439540364	0	1
語言	4.373926307998559	0	1
別人	0.08150372236894585	0	1
海神	3.1478296061495983	0	1
焉知	2.6526271111191373	0	1
不妨	3.8456762992125793	1	1
腦後	5.347160940700427	1	1
作家	2.0064160907183477	0	1
趙州	11.036708937674794	0	1
鼻孔	7.876044432572819	0	1
東邊	2.905298406621659	0	1
頂上	4.924668773128673	1	1
一喝	5.064877957047065	0	1
不得	3.0510760461034785	1	1
分疎	3.6628777870969382	0	1
兄弟	10.440161263080098	0	1
西北	8.243342075878562	0	1
公案	8.442935716420639	0	1
雪竇	13.368221392322646	0	1
心虛	1.1096499726348956	0	1
眼前	0.3609388394779657	0	1
清風	2.775966915544666	0	1
喪身	4.8372142270454725	0	1
眼睛	9.608767750627752	0	1
滿面	2.213071701834228	0	1
一着	0.5913949946681817	0	1
爛泥	5.627380392470577	0	1
光明	6.972825397947713	0	1
北門	3.7821194171583365	0	1
南門	1.8051271828715376	0	1
方匡	3.0200467671543074	0	0
著語	0.27555129500887704	0	1
面前	3.515976771243641	0	1
新鮮	5.851264951708437	0	1
之中	2.4185365361782214	0	1
非難	0.29685299236520063	0	1
走向	5.080085119531837	0	1
西邊	2.2028648248766607	0	1
不出	1.5114292339907853	1	1
何處	2.7940497674071736	0	1
出國	1.1071678085706336	0	1
十五	5.078673267510416	0	1
多少	5.332218746272059	0	1
漏逗	7.287024208104014	0	1
贏得	6.45416603878142	0	1
今日	5.494584598117451	0	1
德山	3.480478553104896	0	1
眉毛	8.932961562080626	0	1
脚跟	12.783773075932851	0	1
手段	4.148266743743486	0	1
大師	3.349459118281361	0	1
聖諦	7.376965062480294	0	1
老僧	4.623229965668819	0	1
末後	5.351185366569986	1	1
奇特	10.666800255218927	0	1
慧超	3.339431887439574	0	1
瓦解	3.6640046591828637	0	1
老賊	3.135950789254107	0	1
說話	4.120379321530626	0	1
逆水	3.503868412840932	0	1
可惜	4.37479684010988	0	1
摸索	9.854608155574605	0	1
却是	0.7815378876527288	0	1
運籌	7.269202896946966	0	1
雪峯	11.026783050117206	0	1
觀音	4.699366246360742	0	1
冷眼	3.1740135946435193	0	1
養子	-0.14323080829953372	0	1
舌頭	4.784650456901767	0	1
第二	5.020662876577301	0	1
渡江	9.264335346518546	0	1
帷幄	17.64157779421659	0	1
倒退	2.14067818565462	0	1
黃檗	12.42277373900795	0	1
灼然	7.9411916944388	0	1
三千	4.487125130595996	0	1
西門	3.141784018260152	0	1
分外	0.9509706902729796	0	1
莫道	1.8077519169427918	0	1
草鞋	11.14875286759081	0	1
大眾	3.4373797663897028	0	1
慚惶	8.323874285190957	0	1
新羅	3.5816867240219734	0	1
傍人	3.7627327084027367	0	1
相罵	3.1601479162491053	0	1
葛藤	14.230846769134661	0	1
以來	1.0387913842604841	0	1
四百	3.787319462035754	0	1
一時	2.0810529103040696	0	1
恐龍	1.4712040709785605	0	0
那裏	4.926551576979247	0	1
見解	0.364648344581062	0	1
愛問	-2.02	0	0
不大	-1.65	1	1
不上	-1.45	1	0
一般	-1.3	0	1
教壞	-1.21	0	1
事界	-1.1	0	0
香客	-1.08	0	0
作案	-1.04	0	0
天性	-1.02	0	1
子實	-0.87	0	0
